标题,评分,类型,地区,时长,上映时间
霸王别姬,9.5,"['剧情', '爱情']",中国内地、中国香港,171,1993-07-26 
这个杀手不太冷,9.5,"['剧情', '动作', '犯罪']",法国,110,1994-09-14 
肖申克的救赎,9.5,"['剧情', '犯罪']",美国,142,1994-09-10 
泰坦尼克号,9.5,"['剧情', '爱情', '灾难']",美国,194,1998-04-03 
罗马假日,9.5,"['剧情', '喜剧', '爱情']",美国,118,1953-08-20 
唐伯虎点秋香,9.5,"['喜剧', '爱情', '古装']",中国香港,102,1993-07-01 
乱世佳人,9.5,"['剧情', '爱情', '历史', '战争']",美国,238,1939-12-15 
喜剧之王,9.5,"['剧情', '喜剧', '爱情']",中国香港,85,1999-02-13 
楚门的世界,9.0,"['剧情', '科幻']",美国,103,
狮子王,9.0,"['动画', '歌舞', '冒险']",美国,89,1995-07-15 
V字仇杀队,8.9,"['剧情', '动作', '科幻', '惊悚']",美国、英国、德国,132,2005-12-11 
少年派的奇幻漂流,8.9,"['剧情', '奇幻', '冒险']",美国、中国台湾、英国、加拿大,127,2012-11-22 
美丽心灵,8.8,"['剧情', '传记']",美国,135,2001-12-13 
初恋这件小事,8.9,"['喜剧', '爱情']",泰国,118,2012-06-05 
借东西的小人阿莉埃蒂,8.8,"['动画', '奇幻', '冒险']",日本,94,2010-07-17 
一一,8.8,"['剧情', '爱情', '家庭']",中国台湾、日本,173,2000-05-15 
美丽人生,9.1,"['战争', '剧情', '爱情']",意大利,116,2020-01-03 
海上钢琴师,9.1,"['剧情', '爱情', '音乐']",意大利,126,2019-11-15 
千与千寻,9.1,"['动画', '冒险', '奇幻', '家庭']",日本,125,2019-06-21 
迁徙的鸟,9.1,['纪录片'],法国、德国、意大利、西班牙、瑞士,98,2001-12-12 
黄金三镖客,9.1,"['西部', '冒险']",意大利、西班牙、西德,161,1966-12-23 
海洋,9.1,['纪录片'],法国、瑞士、西班牙、美国、阿联酋,104,2011-08-12 
我爱你,9.1,"['剧情', '爱情']",韩国,118,2011-02-17 
阿飞正传,9.1,"['剧情', '爱情', '犯罪']",中国香港,94,2018-06-25 
7号房的礼物,8.8,"['剧情', '喜剧', '家庭']",韩国,127,2013-01-23 
爱·回家,9.1,"['剧情', '家庭']",韩国,80,2002-04-05 
龙猫,9.1,"['动画', '冒险', '奇幻', '家庭']",日本,86,2018-12-14 
七武士,8.8,"['剧情', '动作', '冒险']",日本,207,1954-04-26 
美国往事,8.8,"['剧情', '犯罪']",意大利、美国,229,2015-04-23 
完美的世界,8.8,"['剧情', '犯罪']",美国,138,1993-11-24 
上帝之城,8.8,"['剧情', '犯罪']",巴西、法国,130,
辩护人,8.8,['剧情'],韩国,127,2013-12-18 
忠犬八公物语,8.8,['剧情'],日本,107,1987-08-01 
海豚湾,8.8,['纪录片'],美国,92,2009-07-31 
英雄本色,8.8,"['剧情', '动作', '犯罪']",中国香港,95,2017-11-17 
恐怖直播,8.8,"['剧情', '悬疑', '犯罪']",韩国,97,2013-07-31 
窃听风暴,8.8,"['剧情', '悬疑']",德国,137,2006-03-23 
时空恋旅人,8.8,"['喜剧', '爱情', '奇幻']",英国,123,2013-09-04 
穿条纹睡衣的男孩,8.8,"['剧情', '战争']",英国、美国,94,2008-08-28 
教父,8.8,"['剧情', '犯罪']",美国,175,2015-04-18 
萤火之森,8.8,"['剧情', '爱情', '动画', '奇幻']",日本,45,2011-09-17 
素媛,8.8,['剧情'],韩国,123,2013-10-02 
小鞋子,8.8,"['剧情', '家庭']",伊朗,89,
熔炉,8.8,['剧情'],韩国,125,2011-09-22 
大话西游之大圣娶亲,8.9,"['喜剧', '爱情', '奇幻']",中国香港、中国大陆,110,2014-10-24 
新龙门客栈,8.9,"['动作', '爱情', '武侠', '古装']",中国香港、中国大陆,88,2012-02-24 
触不可及,8.9,"['剧情', '喜剧']",法国,112,2011-11-02 
钢琴家,8.9,"['剧情', '音乐', '传记', '历史', '战争']",法国、德国、英国、波兰,150,2002-05-24 
本杰明·巴顿奇事,8.9,"['剧情', '爱情', '奇幻']",美国,166,2008-12-25 
倩女幽魂,8.9,"['爱情', '奇幻', '武侠', '古装']",中国香港,98,2011-04-30 
哈利·波特与死亡圣器（下）,8.9,"['剧情', '悬疑', '奇幻', '冒险']",英国、美国,130,2011-08-04 
甜蜜蜜,8.9,"['剧情', '爱情']",中国香港,118,2015-02-13 
蝙蝠侠：黑暗骑士崛起,8.9,"['剧情', '动作', '科幻', '惊悚', '犯罪']",美国、英国,165,2012-08-27 
鬼子来了,8.8,"['剧情', '战争']",中国大陆,139,2000-05-13 
无敌破坏王,8.8,"['喜剧', '动画', '奇幻', '冒险']",美国,101,2012-11-06 
致命魔术,8.8,"['剧情', '悬疑', '惊悚']",美国、英国,130,2006-10-17 
神偷奶爸,8.8,"['喜剧', '动画', '冒险']",美国、法国,95,2010-06-20 
断背山,8.8,"['剧情', '爱情', '家庭']",美国、加拿大,134,2005-09-02 
怦然心动,8.8,"['剧情', '喜剧', '爱情']",美国,90,2010-07-26 
驯龙高手,8.8,"['喜剧', '动画', '奇幻', '冒险']",美国,98,2010-05-14 
飞屋环游记,8.8,"['剧情', '喜剧', '动画', '冒险']",美国,96,2009-08-04 
黑客帝国3：矩阵革命,8.8,"['动作', '科幻']",美国、澳大利亚,129,2003-11-05 
速度与激情5,8.9,"['动作', '犯罪']",美国,130,2011-05-12 
勇敢的心,8.9,"['剧情', '动作', '传记', '历史', '战争']",美国,177,1995-05-18 
三傻大闹宝莱坞,8.9,"['剧情', '喜剧', '爱情', '歌舞']",印度,171,2011-12-08 
闻香识女人,8.9,['剧情'],美国,157,1992-12-23 
末代皇帝,8.9,"['剧情', '传记', '历史']",英国、意大利、中国大陆、法国、美国,163,1987-10-23 
风之谷,8.9,"['动画', '奇幻', '冒险']",日本,117,
大话西游之月光宝盒,8.9,"['喜剧', '爱情', '奇幻', '古装']",中国香港、中国大陆,87,2014-10-24 
放牛班的春天,8.9,"['剧情', '音乐']",法国、德国、瑞士,97,2004-10-16 
当幸福来敲门,8.9,"['剧情', '家庭', '传记']",美国,117,2008-01-17 
幽灵公主,8.9,"['动画', '奇幻', '冒险']",日本,134,1998-05-01 
十二怒汉,8.9,['剧情'],美国,96,1957-04-13 
搏击俱乐部,8.9,"['剧情', '动作', '悬疑', '惊悚']",美国、德国,139,1999-09-10 
疯狂原始人,8.9,"['喜剧', '动画', '冒险']",美国,98,2013-04-20 
阿凡达,8.9,"['动作', '科幻', '冒险']",美国、英国,162,2010-01-04 
哈尔的移动城堡,8.9,"['动画', '奇幻', '冒险']",日本,119,2004-09-05 
盗梦空间,8.9,"['剧情', '科幻', '悬疑', '冒险']",美国、英国,148,2010-09-01 
忠犬八公的故事,8.9,['剧情'],美国、英国,93,2009-06-13 
拯救大兵瑞恩,8.9,"['剧情', '历史', '战争']",美国,169,1998-11-13 
活着,9.0,"['剧情', '家庭', '历史']",中国大陆、中国香港,132,1994-05-17 
机器人总动员,9.0,"['喜剧', '科幻', '动画']",美国,98,2008-06-27 
天堂电影院,9.0,"['剧情', '爱情']",意大利、法国,155,1988-11-17 
指环王2：双塔奇兵,9.0,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,179,2003-04-25 
指环王1：护戒使者,9.0,"['剧情', '动作', '奇幻', '冒险']",新西兰、美国,178,2002-04-04 
射雕英雄传之东成西就,9.0,"['喜剧', '奇幻', '武侠', '古装']",中国香港,113,1993-02-05 
蝙蝠侠：黑暗骑士,9.0,"['剧情', '动作', '科幻', '惊悚', '犯罪']",美国、英国,152,2008-07-14 
无间道,9.0,"['剧情', '悬疑', '犯罪']",中国香港,101,2003-09-05 
教父2,9.0,"['剧情', '犯罪']",美国,202,1974-12-12 
加勒比海盗,9.0,"['动作', '奇幻', '冒险']",美国,143,2003-11-21 
哈利·波特与魔法石,9.0,"['奇幻', '冒险']",美国、英国,152,2002-01-26 
指环王3：王者无敌,9.0,"['剧情', '动作', '奇幻', '冒险']",美国、新西兰,201,2004-03-15 
黑客帝国,9.0,"['动作', '科幻']",美国、澳大利亚,136,2000-01-14 
剪刀手爱德华,9.0,"['剧情', '爱情', '奇幻']",美国,105,1990-12-06 
春光乍泄,9.0,"['剧情', '爱情']",中国香港、日本、韩国,96,1997-05-17 
大闹天宫,9.0,"['动画', '奇幻']",中国大陆,114,1965-12-31 
天空之城,9.0,"['动画', '奇幻', '冒险']",日本,125,1992-05-01 
音乐之声,9.0,"['剧情', '爱情', '歌舞', '传记']",美国,174,1965-03-02 
辛德勒的名单,9.5,"['剧情', '历史', '战争']",美国,195,1993-11-30 
魂断蓝桥,9.5,"['剧情', '爱情', '战争']",美国,108,1940-05-17 
